Second,Frame,nosex,nosey,noselikelihood,noseFreeze,leftearx,lefteary,leftearlikelihood,leftearFreeze,rightearx,righteary,rightearlikelihood,rightearFreeze,tailbasex,tailbasey,tailbaselikelihood,tailbaseFreeze,stimx,stimy,stimlikelihood,stimFreeze,FullBodyFreeze
2.666666667,80,27.69055814,8.65654995,1,1,27.41223958,6.749434109,1,1,25.76036122,7.587021414,1,1,24.43165058,4.261331556,0.999998808,1,50.24226969,33.65468594,0.999999702,0,1
2.7,81,27.72811932,8.715167484,1,1,27.43915278,6.771683479,1,1,25.76917582,7.597765993,1,1,24.44882471,4.265806385,0.999998808,1,50.20114594,33.69699623,0.999999583,1,1
2.733333333,82,27.74328266,8.702361447,1,1,27.43280228,6.783756251,1,1,25.7733218,7.611392584,1,1,24.44197046,4.271971181,0.999998689,1,50.16002219,33.73930652,0.999999762,1,1
2.766666667,83,27.74059168,8.677470567,1,1,27.42562089,6.783602172,1,1,25.78102789,7.614366332,1,1,24.42431033,4.271817069,0.999998748,1,50.11889844,33.78161681,0.999999821,1,1
2.8,84,27.7304543,8.690844083,1,1,27.41106404,6.791344766,1,1,25.75993704,7.607371677,1,1,24.41729845,4.271235715,0.999998689,1,50.1731422,33.7774841,0.999998808,1,1
2.833333333,85,27.72660912,8.693887,1,1,27.418443,6.75877499,1,1,25.77118685,7.584143182,1,1,24.43715837,4.29435143,0.999998331,1,50.22738597,33.77335139,0.999995589,1,1
2.866666667,86,27.70852482,8.686472996,1,1,27.41751971,6.746532487,1,1,25.74573728,7.567270971,1,1,24.37443281,4.343301609,0.999996066,1,50.22883044,33.77252961,0.999996066,1,1
2.9,87,27.67544759,8.683278946,1,1,27.41015284,6.756901807,1,1,25.74009403,7.565161444,1,1,24.38553731,4.334565038,0.999996305,1,50.23027492,33.77170783,0.999996066,1,1
2.933333333,88,27.68322491,8.725098745,1,1,27.42454887,6.761672521,1,1,25.73611329,7.575647312,1,1,24.36401542,4.344861276,0.999995291,1,50.2317194,33.77088605,0.999996901,1,1
2.966666667,89,27.70770903,8.706939074,1,1,27.41869989,6.725032302,1,1,25.73581277,7.575555443,1,1,24.36042065,4.330753372,0.999996603,1,50.17930938,33.7153203,0.999999762,1,1
3,90,27.69383827,8.703985547,1,1,27.41543253,6.766990138,1,1,25.71599738,7.604770342,1,1,24.38217964,4.366076271,0.99998492,1,50.12689935,33.65975456,0.999999821,1,1
3.033333333,91,27.73201532,8.711391058,1,1,27.43658758,6.767055149,1,1,25.73179895,7.618082283,1,1,24.39437675,4.349368855,0.999989688,1,50.07448933,33.60418881,1,1,1
3.066666667,92,27.76205762,8.695743452,1,1,27.42633056,6.771336012,1,1,25.73427226,7.626236955,1,1,24.40085817,4.348873312,0.999989748,1,50.0220793,33.54862306,0.999999821,1,1
3.1,93,27.76361211,8.664157398,1,1,27.4212432,6.745933825,1,1,25.73379409,7.607056982,1,1,24.39686299,4.342591689,0.999990821,1,50.01507407,33.53191505,0.999999881,1,1
3.133333333,94,27.78107738,8.674467926,1,1,27.43056133,6.721695167,1,1,25.7218833,7.588243419,1,1,24.40409078,4.342211739,0.999993086,1,50.01586212,33.53641398,0.99999994,1,1
3.166666667,95,27.78568121,8.666330512,1,1,27.43072784,6.726593503,1,1,25.72747617,7.596664895,1,1,24.40063048,4.338432911,0.999992847,1,50.02948253,33.53844051,0.999999881,1,1
3.2,96,27.78485972,8.657198233,1,1,27.4178939,6.733178748,1,1,25.74040826,7.613301208,1,1,24.40147072,4.352315878,0.999992728,1,49.99799402,33.50972817,1,1,1
3.233333333,97,27.78473917,8.660696778,1,1,27.42088017,6.738617138,1,1,25.7256517,7.621204951,1,1,24.3742331,4.358647438,0.999992251,1,49.96650551,33.48101583,1,1,1
3.266666667,98,27.79674112,8.660178106,1,1,27.40614392,6.713004798,1,1,25.73785275,7.611447946,1,1,24.40104381,4.338519334,0.999988854,1,49.935017,33.45230349,1,1,1
3.3,99,27.9254257,8.644306653,1,1,27.43193121,6.705301579,1,1,25.74216585,7.615154292,1,1,24.44628861,4.288470613,0.99999398,1,49.9471066,33.47256,1,1,1
3.333333333,100,27.95218796,8.578347733,1,1,27.39808951,6.68636373,1,1,25.76216108,7.604813564,1,1,24.45729881,4.2855871,0.999994874,1,49.91786231,33.46464949,1,1,1
3.366666667,101,27.84040027,8.654850306,1,0,27.418053,6.673402748,1,1,25.73245023,7.572418411,1,1,24.43744714,4.276831175,0.999994397,1,49.92154021,33.47006834,1,1,1
3.4,102,27.84440151,8.665319144,1,0,27.41909727,6.678784864,1,1,25.73836126,7.58052626,1,1,24.43558423,4.287594019,0.999994516,1,49.96219561,33.46342153,1,1,1
3.433333333,103,27.92463712,8.625010058,1,0,27.4195897,6.707900379,1,1,25.74493478,7.604084212,1,1,24.4697787,4.29462268,0.999993622,1,49.9734446,33.47772825,1,1,1
3.466666667,104,27.90026226,8.6102451,1,0,27.40603684,6.714785534,1,1,25.73784856,7.636575815,1,1,24.44076738,4.316020235,0.999992251,1,49.96307072,33.48267863,1,1,1
3.5,105,27.89906035,8.606275433,1,0,27.40368003,6.714195386,1,1,25.74022513,7.644914804,1,1,24.51381245,4.320217366,0.999981523,1,49.95259239,33.48302319,1,1,1
3.533333333,106,27.90499037,8.607904144,1,0,27.40353553,6.707272301,1,1,25.74190807,7.631237876,1,1,24.4974853,4.325574137,0.999976635,1,49.99463237,33.50065143,1,1,1
3.566666667,107,27.82548626,8.654345959,1,0,27.40611237,6.690012691,1,1,25.74110306,7.606770746,1,1,24.47763531,4.362890526,0.999930024,1,50.03667235,33.51827967,1,1,1
3.6,108,27.90218827,8.602164589,1,0,27.42718213,6.678390818,1,1,25.74140546,7.579972954,1,1,24.48476715,4.354050035,0.99992609,1,49.95580819,33.50631233,1,1,1
3.633333333,109,27.89864312,8.643682038,1,0,27.43956395,6.678779928,1,1,25.73913248,7.552230188,1,1,24.47112802,4.358768144,0.999926686,1,49.87494404,33.49434498,1,1,1
3.666666667,110,27.91151421,8.636141191,1,0,27.45062892,6.680385775,1,1,25.74854386,7.548190649,1,1,24.47899339,4.358168525,0.999955773,1,49.79407988,33.48237763,1,1,1
3.7,111,27.90620677,8.620277189,1,0,27.45212264,6.680153478,1,1,25.73932475,7.558334608,1,1,24.4907526,4.356675626,0.99995172,1,49.81092289,33.46266448,1,1,1
3.733333333,112,27.82766181,8.653402408,1,0,27.45475461,6.66935685,1,1,25.72048889,7.565859847,1,1,24.50454436,4.334469723,0.999973297,1,49.76455021,33.43560167,1,1,1
3.766666667,113,27.72772699,8.742923979,1,0,27.45229833,6.752306427,1,1,25.69045844,7.584027434,1,1,24.4678916,4.362461105,0.999961734,1,49.71817753,33.40853886,1,1,1
3.8,114,27.72705411,8.74145776,1,0,27.45691892,6.800061727,1,1,25.71661458,7.639175815,1,1,24.48422856,4.367423985,0.999937892,1,49.67180485,33.38147605,1,1,1
